leaf,叶子,Ordinary leaves,葉,Hojas,лист,Feuilles,Blätter,yaprak,나뭇잎,Liście,Folhas,blad,blad,foglia,Листя,листо,पत्ती,ورق
leaf_info,普通的叶子,leaf dead,普通の葉,Hojas ordinarias,Обычные листья,Feuilles ordinaires,Gewöhnliche Blätter,Sıradan yaprakları,보통 잎,Zwyczajne liście,Folhas comuns,Almindelige blade,Gewone bladeren,Foglie ordinarie,Звичайні листи,Обикновени листа,सामान्य पत्तियां,الاوراق العادية
leaf_dead,枯叶,Yellow leaves,死んだ葉,Hojas muertas,Мертвые листья,Feuilles mortes,Tote Blätter,Ölü yapraklar,죽은 잎,Martwe liście,Folhas mortas,Døde blade,Dode bladeren,Foglie morte,Мертві листи,Мъртви листа,मृत पत्तियां,الأوراق الميتة
leaf_dead_info,枯黄的叶子,wood,枯れ葉,Hojas marchitas,Увядшие листья,Feuilles flétries,Verwelkte Blätter,Solmuş yapraklar,시든 잎,Zwiędłe liście,Folhas murchas,Forvitrede blade,Verdorde bladeren,Foglie appassite,Висиха листя,Изсъхнали листа,Withered पत्तियां,أوراق ذابل
wood,木头,Renewable materials,ウッド,Madera,дерево,Bois,Holz,odun,우드,Drewno,Wood,Træ,hout,legno,Деревина,дърво,लकड़ी,خشب
wood_info,可再生材料,wood board,再生可能素材,Material renovable,Возобновляемый материал,Matériau renouvelable,Nachwachsendes Material,Yenilenebilir malzeme,재생 가능 물질,Surowiec odnawialny,Material renovável,Fornyeligt materiale,Hernieuwbaar materiaal,Materiale rinnovabile,Відновлюваний матеріал,Възобновяем материал,नवीकरणीय सामग्री,مادة قابلة للتجديد
wood_board,木板,Board made of wood,木製ボード,Tablero de madera,Деревянная доска,Planche de bois,Holzbrett,Ahşap tahta,나무 보드,Drewniana tablica,Placa de madeira,Træbræt,Houten plank,Tavola di legno,Дерев'яна дошка,Дървена дъска,लकड़ी का बोर्ड,لوح خشبي
wood_board_info,木头做成的板,workbench,木製のボード,Tablero de madera,Доска деревянная,Conseil en bois,Brett aus Holz,Ahşap tahta,목재로 만들어진 보드,Deska wykonana z drewna,Tábua de madeira,Bræt af træ,Bord gemaakt van hout,Tavola di legno,Дошка з дерева,"Борд, изработен от дърво",लकड़ी से बना बोर्ड,مجلس مصنوع من الخشب
workbench,工作台,A worktable that can work with peace of mind,ワークベンチ,Banco de trabajo,таблица,Workbench,Werkbank,tablo,워크 벤치,Workbench,Bancada de trabalho,bord,tafel,tavolo,Робочий стіл,маса,तालिका,طاولة
workbench_info,可以安心工作的台子,wood box,安心して働けるデスク,un escritorio que puede trabajar con tranquilidad,"стол, который может работать с душевным спокойствием",un bureau qui peut travailler en toute tranquillité,"ein Schreibtisch, der mit Ruhe arbeiten kann",huzur içinde çalışabilecek bir masa,안심하고 사용할 수있는 책상,"biurko, które może działać w spokoju",uma mesa que pode funcionar com tranquilidade,et skrivebord der kan fungere med ro i sindet,een bureau dat met gemoedsrust kan werken,una scrivania che può funzionare in tutta tranquillità,"письмовий стіл, який може працювати з душевним спокоєм","бюро, което може да работи спокойно",एक डेस्क जो मन की शांति के साथ काम कर सकती है,مكتب يمكنه العمل براحة البال
wood_box,木箱,Can store items,木箱,Caja de madera,Деревянная коробка,Boîte en bois,Holzkiste,Ahşap kutu,나무 상자,Drewniane pudełko,Caixa de madeira,Træ kasse,Houten kist,Scatola di legno,Дерев'яна коробка,Дървена кутия,लकड़ी का बक्सा,صندوق خشبي
wood_box_info,可以存放物品,stone stove,アイテムを保存することができます,Puede almacenar artículos,Можно хранить предметы,Peut stocker des articles,Kann Gegenstände speichern,Öğeleri depolayabilir,아이템 저장 가능,Może przechowywać przedmioty,Pode armazenar itens,Kan gemme varer,Kan items opslaan,Può conservare oggetti,Можна зберігати предмети,Може да съхранява елементи,आइटम स्टोर कर सकते हैं,يمكن تخزين العناصر
stone_stove,石炉,The basis of firing,ストーンオーブン,Horno de piedra,Каменная печь,Four en pierre,Steinofen,Taş fırın,석재 오븐,Kamienny piekarnik,Forno de pedra,Stenovn,Steenoven,Forno di pietra,Кам'яна піч,Каменна фурна,पत्थर ओवन,فرن حجري
stone_stove_info,烧制的基础,#,発砲の基地,Base de tiro,База стрельбы,Base de tir,Basis des Feuerns,Ateş üssü,발사 기지,Baza strzelania,Base de disparo,Base for affyring,Basis van schieten,Base di fuoco,База стрільби,База за изпичане,फायरिंग का आधार,قاعدة اطلاق النار
#,#,door,＃,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
door,门,More like a home,ドア,Puerta,дверь,Porte,Tür,kapı,문,Drzwi,Porta,Dør,deur,porta,Двері,врата,द्वार,باب
door_info,更像一个家,ladder,もっと家に似ている,Más como un hogar,Больше похоже на дом,Plus comme une maison,Mehr wie ein Zuhause,Daha çok ev gibi,집과 더 비슷합니다.,Bardziej jak dom,Mais como uma casa,Mere som et hjem,Meer als een thuis,Più come una casa,Більше як будинок,По-скоро като дом,एक घर की तरह अधिक,أشبه بالمنزل
ladder,梯子,I am not afraid of mining it.,はしご,Escalera,трап,Ladder,Leiter,merdiven,사다리,Drabina,Escada,stige,ladder,scala,Сходи,стълба,सीढ़ी,سلم
ladder_info,有了它挖矿就不怕了,#,私はそれを採掘することを恐れない。,No tengo miedo de minarlo.,Я не боюсь добывать его.,Je n'ai pas peur de l'exploiter.,"Ich habe keine Angst, es zu fördern.",Madencilikten korkmuyorum.,나는 그것을 채굴하는 것을 두려워하지 않는다.,Nie boję się go wydobywać.,Eu não tenho medo de minerá-lo.,Jeg er ikke bange for at minde den.,Ik ben niet bang om het te ontginnen.,Non ho paura di estrarlo.,Я не боюся його видобутку.,Не се страхувам да го изкопая.,मैं इसे खनन करने से डरता नहीं हूँ।,أنا لست خائفا من التعدين.
#,#,gear,＃,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
gear,齿轮,wood gear,ギア,Gear,шестерня,Gear,Ausrüstung,vites,기어,Sprzęt,Engrenagem,Gear,versnelling,marcia,Механізм,зъбно колело,गियर,معدات
wood_gear,木头齿轮,Simple mechanical device,ウッドギア,Engranaje de madera,Деревянная передача,Bois,Holz Getriebe,Ahşap dişli,목재 제품,Sprzęt z drewna,Engrenagem de madeira,Træudstyr,Houten spullen,Attrezzi di legno,Деревне спорядження,Дървени съоръжения,लकड़ी गियर,معدات خشب
wood_gear_info,简单的机械装置,#,簡単な機械装置,Dispositivo mecánico simple,Простое механическое устройство,Dispositif mécanique simple,Einfaches mechanisches Gerät,Basit mekanik cihaz,간단한 기계 장치,Proste urządzenie mechaniczne,Dispositivo mecânico simples,Enkel mekanisk enhed,Eenvoudig mechanisch apparaat,Semplice dispositivo meccanico,Простий механічний пристрій,Просто механично устройство,सरल यांत्रिक उपकरण,جهاز ميكانيكي بسيط
#,#,switch,＃,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
switch,开关,button,スイッチ,Cambiar,переключатель,Commutateur,Schalter,şalter,스위치,Przełącz,Mudar,kontakt,schakelaar,interruttore,Перемикач,ключ,स्विच,تحول
button,按钮,switch,ボタン,Botón,кнопка,Bouton,Knopf,düğme,버튼,Przycisk,Botão,knappen Push,drukknop,pulsante,Кнопка,бутон,बटन,زر
button_info,控制开关,pull rod,制御スイッチ,Interruptor de control,Переключатель управления,Commutateur de commande,Steuerschalter,Kontrol anahtarı,제어 스위치,Przełącznik sterowania,Interruptor de controle,Kontrolswitch,Bedieningsschakelaar,Interruttore di controllo,Перемикач управління,Контролен ключ,नियंत्रण स्विच,مفتاح التحكم
pull_rod,拉杆,switch,プルロッド,Tire de la barra,Вытянуть стержень,Tige de traction,Zugstange,Çekme çubuğu,당김 막대,Pociągnij drążek,Haste de tração,Trækstang,Trekstang,Tirare l'asta,Витягніть стрижень,Издърпайте пръчката,छड़ी खींचो,سحب قضيب
pull_rod_info,控制开关,#,制御スイッチ,Interruptor de control,Переключатель управления,Commutateur de commande,Steuerschalter,Kontrol anahtarı,제어 스위치,Przełącznik sterowania,Interruptor de controle,Kontrolswitch,Bedieningsschakelaar,Interruttore di controllo,Перемикач управління,Контролен ключ,नियंत्रण स्विच,مفتاح التحكم
#,#,item,＃,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
item,物品,wood transmission stick,アイテム,Artículo,статья,Objet,Artikel,makale,항목,Przedmiot,Item,artikel,artikel,articolo,Пункт,статия,लेख,مقالة
transmission_wood_stick,木头传动杆,Seems to fit on gear,ウッドドライブロッド,Varilla de accionamiento de madera,Деревянная приводная тяга,Tige d'entraînement en bois,Holz Treibstange,Ahşap tahrik çubuk,나무 구동 막대,Pręt do drążenia drewna,Haste de madeira da movimentação,Trædrevstang,Houten aandrijfstang,Asta di comando in legno,Деревний привід,Дървена задвижваща пръчка,लकड़ी ड्राइव रॉड,قضيب محرك الخشب
transmission_wood_stick_info,似乎可以装在齿轮上,#,ギアにフィットするように見える,Parece que encaja en el engranaje,"Кажется, что он поместился на передаче",Semble s'adapter à l'engrenage,Scheint auf das Zahnrad zu passen,Vitese uyuyor gibi görünüyor,장비에 맞는 것 같습니다.,Wydaje się pasować na bieg,Parece se encaixar na engrenagem,Synes at passe på gearet,Lijkt op de versnelling te passen,Sembra adattarsi alla marcia,"Здається, вписується в передачу",Изглежда да се поберат на предавката,गियर पर फिट लगता है,يبدو لتناسب على العتاد
#,#,ingot,＃,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
ingot,锭,copper ingot,インゴット,Lingote,болванка,Lingot,Barren,külçe,주괴,Wlewki,Lingote,ingot,baar,lingotto,Злиток,слитък,इनगट,قالب لصب المعادن
copper_ingot,铜锭,copper Age,銅インゴット,Lingote de cobre,Медный слиток,Lingot de cuivre,Kupferbarren,Bakır külçe,구리 주괴,Wlewki miedziane,Lingote de cobre,Kobberstænger,Koperen staaf,Lingotto di rame,Мідний злив,Медни слитъци,कॉपर पिंड,سبيكة النحاس
copper_ingot_info,铜器时代,bronze ingot,青銅器時代,Edad de bronce,Бронзовый век,Âge du bronze,Bronzezeit,Bronz çağ,청동기 시대,Epoka brązu,Idade do bronze,Bronsalder,Bronstijd,Età del bronzo,Бронзовий вік,Бронзова възраст,कांस्य युग,العصر البرونزي
bronze_ingot,青铜锭,Bronze Age,ブロンズインゴット,Lingote de bronce,Бронзовый слиток,Lingot de bronze,Bronzebarren,Bronz külçe,청동 주괴,Brązowy wlewek,Lingote de bronze,Bronze ingot,Brons ingots,Lingotto di bronzo,Бронзовий злив,Бронз блок,कांस्य पिंड,سبيكة البرونز
bronze_ingot_info,青铜时代,tin ingot,青銅器時代,Edad de bronce,Бронзовый век,Âge du bronze,Bronzezeit,Bronz çağ,청동기 시대,Epoka brązu,Idade do bronze,Bronsalder,Bronstijd,Età del bronzo,Бронзовий вік,Бронзова възраст,कांस्य युग,العصر البرونزي
tin_ingot,锡锭,Synthetic bronze is indispensable,錫インゴット,Lingote de estaño,Оловянный слиток,Lingot d'étain,Zinnbarren,Kalay külçe,주석 잉곳,Cyna wlewka,Lingote de estanho,Tin ingot,Tin ingot,Lingotto di latta,Олов'яний злив,Цин тон,टिन पिंड,القصدير سبيكة
tin_ingot_info,合成青铜不可或缺的,zinc ingot,合成ブロンズは不可欠です,El bronce sintético es indispensable,Синтетическая бронза незаменима,Le bronze synthétique est indispensable,Synthetische Bronze ist unverzichtbar,Sentetik bronz vazgeçilmezdir,합성 청동은 필수 불가결하다.,Syntetyczny brąz jest niezbędny,Bronze sintético é indispensável,Syntetisk bronze er uundværlig,Synthetisch brons is onmisbaar,Il bronzo sintetico è indispensabile,Синтетична бронза незамінна,Синтетичният бронз е незаменим,सिंथेटिक कांस्य अनिवार्य है,لا يمكن الاستغناء عن البرونز الاصطناعي
zinc_ingot,锌锭,May be useful for the next update,亜鉛インゴット,Lingote de zinc,Цинковый слиток,Lingot de zinc,Zink-Ingot,Çinko külçe,아연 주괴,Wlewki cynkowe,Lingote de zinco,Zink ingot,Zink ingots,Lingotto di zinco,Злив з цинку,Цинков блок,जस्ता पिंड,سبيكة الزنك
zinc_ingot_info,或许会在下次更新有用处,iron ingot,たぶん次回のアップデートに役立つでしょう。,Quizás sea útil en la próxima actualización.,"Возможно, это будет полезно в следующем обновлении.",Peut-être que cela sera utile dans la prochaine mise à jour.,Vielleicht wird es im nächsten Update nützlich sein.,Belki bir sonraki güncellemede yararlı olacaktır.,아마 다음 번 업데이트에서 유용 할 것입니다.,Może będzie przydatna w następnej aktualizacji.,Talvez seja útil na próxima atualização.,Måske vil det være nyttigt i den næste opdatering.,Misschien zal het nuttig zijn in de volgende update.,Forse sarà utile nel prossimo aggiornamento.,"Можливо, воно буде корисним у наступному оновленні.",Може би ще бъде полезно в следващата актуализация.,शायद यह अगले अद्यतन में उपयोगी होगा।,ربما سيكون من المفيد في التحديث القادم.
iron_ingot,铁锭,Into the iron age,鉄インゴット,Lingote de hierro,Железный слиток,Lingot de fer,Eisenbarren,Demir külçe,철 주괴,Żelazny wlewek,Lingote de ferro,Jernstang,IJzerblok,Lingotto di ferro,Залізний злив,Железен слитък,लौह पिंड,سبيكة حديدية
iron_ingot_info,进入了铁器时代,steel ingot,鉄器時代に入った,Entró en la Edad del Hierro,Вступил в железный век,Entré à l'âge du fer,Betritt die Eisenzeit,Demir Çağı'na girildi,철기 시대에 들어갔다.,Weszła w epokę żelaza,Entrou na Idade do Ferro,Indtast jernalderen,Kwam de ijzertijd binnen,Entrato nell'età del ferro,Увійшов у залізний вік,Въвеждаше ерата на желязото,लौह युग में प्रवेश किया,دخلت العصر الحديدي
steel_ingot,钢锭,It's not easy to burn steel,スチールインゴット,Lingote de acero,Стальной слиток,Lingot d'acier,Stahlbarren,Çelik külçe,강괴,Stalowy wlewek,Lingote de aço,Stålstang,Stalen ingots,Lingotto d'acciaio,Сталевий злив,Стоманен блок,स्टील पिंड,سبيكة الصلب
steel_ingot_info,烧制钢铁真不容易,silver ingot,スチールを燃やすのは簡単ではない,No es fácil quemar acero,Нелегко сжечь сталь,Ce n'est pas facile de brûler de l'acier,"Es ist nicht einfach, Stahl zu verbrennen",Çelik yakmak kolay değil,강철을 태우는 것은 쉽지 않습니다.,Niełatwo jest spalić stal,Não é fácil queimar aço,Det er ikke let at brænde stål,Het is niet eenvoudig om staal te verbranden,Non è facile bruciare l'acciaio,Нелегко горіти сталь,Не е лесно да изгорите стомана,स्टील को जलाना आसान नहीं है,ليس من السهل حرق الفولاذ
silver_ingot,银锭,Silver white beautiful metal,銀インゴット,Lingote de plata,Серебряный слиток,Lingot d'argent,Silberbarren,Gümüş külçe,은괴,Srebrny wlewek,Lingote de prata,Sølvbørste,Zilver ingots,Lingotto d'argento,Срібний злив,Сребърен слитък,रजत पिंड,سبيكة فضية
silver_ingot_info,银白色的漂亮金属,gold ingot,シルバーホワイトの美しい金属,"Plata, hermoso metal blanco",Серебряный белый красивый металл,Argent blanc beau métal,Silbernes weißes schönes Metall,Gümüş beyaz güzel metal,실버 화이트 아름다운 금속,Srebrno-biały piękny metal,Metal branco prateado lindo,Sølv hvidt smukt metal,Zilver wit prachtig metaal,Argento bianco bellissimo metallo,Срібний білий прекрасний метал,Сребрист бял красив метал,चांदी सफेद सुंदर धातु,فضية بيضاء جميلة معدنية
gold_ingot,金锭,The beginning of trade,金インゴット,Lingote de oro,Золотой слиток,Lingot d'or,Goldbarren,Altın külçe,금괴,Sztabki złota,Lingote de ouro,Guldstang,Goudstaaf,Lingotto d'oro,Золотий злиток,Златен блок,सोने की अंगूठी,سبيكة الذهب
gold_ingot_info,贸易的开始,diamond,貿易の始まり,El comienzo del comercio,Начало торговли,Le début du commerce,Der Beginn des Handels,Ticaretin başlangıcı,무역의 시작,Początek handlu,O começo do comércio,Begyndelsen af ​​handel,Het begin van de handel,L'inizio del commercio,Початок торгівлі,Началото на търговията,व्यापार की शुरुआत,بداية التجارة
diamond,钻石,Expensive and rare,ダイヤモンド,Diamante,ромб,Diamond,Diamant,elmas,다이아몬드,Diamond,Diamante,diamant,diamant,diamante,Алмазний,диамант,हीरा,الماس
diamond_info,昂贵和稀有,#,高価で珍しい,Caro y raro,Дорогое и редкое,Cher et rare,Teuer und selten,Pahalı ve nadir,비싸고 희귀 한,Drogie i rzadkie,Caro e raro,Dyrt og sjældent,Duur en zeldzaam,Costoso e raro,Дорогі і рідкісні,Скъпи и редки,महंगा और दुर्लभ,مكلفة ونادرة
#,#,paper,＃,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
paper,纸,Can record information,紙,Papel,бумага,Papier,Papier,kâğıt,종이,Papier,Paper,Papir,papier,carta,Папір,хартия,कागज़,ورقة
paper_info,可以记录信息了,book,情報を記録できる,Puede registrar información,Может записывать информацию,Peut enregistrer des informations,Kann Informationen aufzeichnen,Bilgi kaydedebilir,정보를 기록 할 수 있습니다.,Potrafi nagrywać informacje,Pode gravar informações,Kan optage oplysninger,Kan informatie vastleggen,Può registrare informazioni,Можна записувати інформацію,Може да записва информация,जानकारी रिकॉर्ड कर सकते हैं,يمكن تسجيل المعلومات
book,书,Is this perhaps a database?,予約,Libro,книга,Livre,Buchen,kitap,도서,Zarezerwuj,Livro,Book,boek,libro,Книга,книга,पुस्तक,كتاب
book_info,这或许是数据库?,wood stick,これはおそらくデータベースですか？,¿Es esto quizás una base de datos?,"Возможно, это база данных?",Est-ce peut-être une base de données?,Ist das vielleicht eine Datenbank?,Bu bir veritabanı mı?,이것은 아마도 데이터베이스입니까?,Czy to może być baza danych?,Isso é talvez um banco de dados?,Er dette måske en database?,Is dit misschien een database?,È forse un database?,"Чи це, мабуть, база даних?",Това може би е база данни?,क्या यह शायद एक डेटाबेस है?,هل هذا ربما قاعدة بيانات؟
wood_stick,木棒,The board was chipped,木製の棒,Palo de madera,Деревянная ручка,Bâton en bois,Holzstab,Tahta sopa,나무 막대기,Drewniany kij,Vara de madeira,Træpind,Houten stok,Bastone di legno,Дерев'яна паличка,Дървена пръчка,लकड़ी की छड़ी,عصا خشبية
wood_stick_info,木板被削掉了,coal,板は切り取られた,El tablero fue cortado,Доска была отрезана,Le tableau a été coupé,Das Brett wurde abgeschnitten,Tahta kesildi,이사회는 단절되었다.,Tablica została odcięta,A placa foi cortada,Bestyrelsen blev afskåret,Het bord was afgesneden,Il tabellone è stato interrotto,Дошка була відрізана,Бордът беше прекъснат,बोर्ड काट दिया गया था,تم قطع اللوح
coal,煤,An energy source,石炭,Carbón,уголь,Charbon,Kohle,kömür,석탄,Węgiel,Carvão,Kul,kolen,carbone,Вугілля,въглища,कोयला,فحم
coal_info,一种能源,charcoal,エネルギー源,Una fuente de energía,Источник энергии,Une source d'énergie,Eine Energiequelle,Bir enerji kaynağı,에너지 원,Źródło energii,Uma fonte de energia,En energikilde,Een energiebron,Una fonte di energia,Джерело енергії,Източник на енергия,एक ऊर्जा स्रोत,مصدر للطاقة
charcoal,木炭,Wood fuel,チャコール,Carbón de leña,древесный уголь,Charbon de bois,Holzkohle,karakalem,목탄,Węgiel drzewny,Carvão vegetal,kul,houtskool,carbone,Вугілля,въглен,लकड़ी का कोयला,فحم
charcoal_info,木头燃料,#,木質燃料,Combustible de madera,Древесное топливо,Bois de chauffage,Holz Brennstoff,Odun yakıt,목재 연료,Paliwo drzewne,Combustível de madeira,Træbrændstof,Hout brandstof,Combustibile di legno,Деревне паливо,Дървено гориво,लकड़ी ईंधन,وقود الخشب
#,#,seed,＃,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
seed,种子,wheat seed,シード,Semilla,семя,Semence,Samen,tohum,씨앗,Seed,Semente,Frø,zaad,seme,Насіння,семена,बीज,بذرة
wheat_seed,小麦种子,Should be able to put in the dirt,小麦の種,Semilla de trigo,Семена пшеницы,Graine de blé,Weizensamen,Buğday tohumu,밀 씨앗,Nasiona pszenicy,Semente de trigo,Hvedefrø,Tarwe zaad,Semi di grano,Насіння пшениці,Семена от пшеница,गेहूं का बीज,بذور القمح
wheat_seed_info,应该可以放在土里,paddy seed,土壌に置くことができなければならない,Debería poder colocarse en el suelo,Должна быть помещена в почву,Devrait pouvoir être placé dans le sol,"Sollte in der Lage sein, in den Boden gelegt zu werden",Toprağa yerleştirilebilmelidir,토양에 놓을 수 있어야한다.,Powinien móc zostać umieszczony w glebie,Deve poder ser colocado no solo,Skal kunne placeres i jorden,Moet in de grond kunnen worden geplaatst,Dovrebbe essere in grado di essere posizionato nel terreno,Слід бути в змозі бути поміщені в грунт,Трябва да може да бъде поставен в почвата,मिट्टी में रखा जाना चाहिए,ينبغي أن تكون قادرة على أن توضع في التربة
paddy_seed,水稻种子,Should be able to put in the dirt,米の種,Semilla de arroz,Семена риса,Graine de riz,Reissamen,Pirinç tohumu,쌀 씨앗,Nasiona ryżu,Semente de arroz,Risfrø,Rijstzaad,Seme di riso,Насіння рису,Семена от ориз,चावल बीज,بذور الأرز
paddy_seed_info,应该可以放在土里,oak seed,土壌に置くことができなければならない,Debería poder colocarse en el suelo,Должна быть помещена в почву,Devrait pouvoir être placé dans le sol,"Sollte in der Lage sein, in den Boden gelegt zu werden",Toprağa yerleştirilebilmelidir,토양에 놓을 수 있어야한다.,Powinien móc zostać umieszczony w glebie,Deve poder ser colocado no solo,Skal kunne placeres i jorden,Moet in de grond kunnen worden geplaatst,Dovrebbe essere in grado di essere posizionato nel terreno,Слід бути в змозі бути поміщені в грунт,Трябва да може да бъде поставен в почвата,मिट्टी में रखा जाना चाहिए,ينبغي أن تكون قادرة على أن توضع في التربة
oak_seed,橡木种子,Source of wood,オークシード,Semilla de roble,Дубовое семя,Graine de chêne,Eiche Samen,Meşe tohumu,오크 씨,Nasiona dębu,Semente de carvalho,Eg frø,Eik zaad,Semi di quercia,Дубовий насіння,Дъбови семена,ओक बीज,بذور البلوط
oak_seed_info,木头的来源,#,木材源,Fuente de madera,Источник древесины,Source de bois,Quelle von Holz,Odun kaynağı,목재 원천,Źródło drewna,Fonte de madeira,Kilde af træ,Bron van hout,Fonte di legno,Джерело деревини,Източник на дървесина,लकड़ी का स्रोत,مصدر الخشب
#,#,liquid,＃,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
liquid,液体,water,液体,Líquido,жидкость,Liquide,Flüssigkeit,sıvı,액체,Liquid,Líquido,Flydende,vloeistof,liquido,Рідина,течност,तरल,سائل
water,水,In the common liquid,水,Agua,воды,Eau,Wasser,su,물,Woda,Água,vand,water,acqua,Вода,вода,पानी,ماء
water_info,在常见不过的液体,#,一般的な液体,Líquido común,Обычная жидкость,Liquide commun,Gemeinsame Flüssigkeit,Ortak sıvı,일반적인 액체,Zwykła ciecz,Líquido comum,Fælles væske,Gemeenschappelijke vloeistof,Liquido comune,Звичайна рідина,Обща течност,सामान्य तरल,السائل المشترك
#,#,function_item,＃,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
function_item,功能道具,The author's relics,機能の小道具,Función prop,Функция опоры,Fonction prop,Funktion prop,Fonksiyon pervane,기능 소품,Funkcja prop,Função prop,Funktion prop,Functie prop,Funzione prop,Функція prop,Функционална характеристика,फंक्शन प्रोप,وظيفة دعم
all_compound_book,作者的遗物,It seems to help the game,著者の遺物,Reliquia del autor,Авторская реликвия,Relique de l'auteur,Relikt des Autors,Yazarın kalıntısı,저자의 유물,Relikwia autora,Relíquia do autor,Forfatterens relikvie,Het relikwie van de auteur,La reliquia dell'autore,Авторська реліквія,Реликва на автора,लेखक का अवशेष,بقايا المؤلف
all_compound_book_info,似乎能对游戏有帮助,wood bowl,ゲームに役立つようだ,Parece ser útil para el juego,Кажется полезным для игры,Semble être utile pour le jeu,Scheint hilfreich für das Spiel zu sein,Oyun için faydalı görünüyor,게임에 도움이 될 것 같습니다.,Wydaje się być pomocnym w grze,Parece ser útil para o jogo,Synes at være nyttigt for spillet,Lijkt nuttig te zijn voor het spel,Sembra essere utile per il gioco,Здається корисним для гри,"Изглежда, че е от полза за играта",खेल के लिए सहायक लगता है,يبدو أن تكون مفيدة للعبة
wood_bowl,木碗,Empty wooden bowl,木製のボウル,Cuenco de madera,Деревянная чаша,Bol en bois,Holzschale,Ahşap kase,나무 보울,Drewniana miska,Tigela de madeira,Træskål,Houten kom,Ciotola di legno,Дерев'яна чаша,Дървена купа,लकड़ी का कटोरा,وعاء خشبي
wood_bowl_info,空的木碗,wood bowl(water),空の木製ボウル,Cuenco de madera vacío,Пустая деревянная чаша,Bol en bois vide,Leere hölzerne Schüssel,Boş ahşap kase,빈 나무 그릇,Puste drewniane miski,Taça de madeira vazia,Tøm træskål,Lege houten kom,Ciotola di legno vuota,Пуста дерев'яна чаша,Празна дървена купа,खाली लकड़ी का कटोरा,وعاء خشبي فارغ
wood_bowl_water,木碗(水),Wooden bowl filled with water,木製ボウル（水）,Cuenco de madera (agua),Деревянная чаша (вода),Bol en bois (eau),Holzschale (Wasser),Ahşap kase (su),나무 그릇 (물),Drewniana miska (woda),Tigela de madeira (água),Træskål (vand),Houten kom (water),Ciotola di legno (acqua),Дерев'яна чаша (вода),Дървена купа (вода),लकड़ी का कटोरा (पानी),وعاء خشبي (ماء)
wood_bowl_water_info,装满了水的木碗,wood barrel,水で満たされた木製のボウル,Cuenco de madera lleno de agua,"Деревянная чаша, наполненная водой",Bol en bois rempli d'eau,Holzschale mit Wasser gefüllt,Su ile dolu ahşap kase,나무 그릇 물로 가득,Drewniana miska wypełniona wodą,Tigela de madeira cheia de água,Træskål fyldt med vand,Houten kom gevuld met water,Ciotola di legno piena d'acqua,Дерев'яна чаша наповнена водою,"Дървена купа, пълна с вода",पानी से भरा लकड़ी का कटोरा,وعاء خشبي مليء بالماء
wood_barrel,木桶,Empty wooden barrel,木製バレル,Barril de madera,Деревянная бочка,Tonneau en bois,Holzfass,Ahşap varil,나무 통,Drewniana beczka,Barril de madeira,Træ tønde,Houten vat,Barile di legno,Дерев'яна бочка,Дървен варел,लकड़ी की बैरल,برميل خشبي
wood_barrel_info,空的木桶,wood barrel(water),空の木製樽,Barril de madera vacío,Пустой деревянный бочонок,Tonneau en bois vide,Leeres Holzfass,Boş ahşap varil,빈 나무 통,Pusta drewniana beczka,Barril de madeira vazio,Tøm træ tønde,Leeg houten vat,Barile di legno vuota,Пуста дерев'яна бочка,Празен дървен барел,खाली लकड़ी की बैरल,برميل خشبي فارغ
wood_barrel_water,木桶(水),Wooden bucket full of water,木製バレル（水）,Barril de madera (agua),Деревянный бочонок (вода),Tonneau en bois (eau),Holzfass (Wasser),Ahşap varil (su),나무 통 (물),Drewniana beczka (woda),Barril de madeira (água),Træ tønde (vand),Houten vat (water),Barile di legno (acqua),Дерев'яна бочка (вода),Дървен варел (вода),लकड़ी की बैरल (पानी),برميل خشبي (ماء)
wood_barrel_water_info,装满了水的木桶,wood vat,水で満たされた木製の樽,Barril de madera lleno de agua,"Деревянный бочонок, наполненный водой",Tonneau en bois rempli d'eau,Holzfass gefüllt mit Wasser,Ahşap varil su ile dolu,물로 가득한 나무 통,Drewniana beczka wypełniona wodą,Barril de madeira cheio de água,Træ tønde fyldt med vand,Houten vat gevuld met water,Botte di legno piena d'acqua,Дерев'яна бочка заповнена водою,"Дървен варел, напълнен с вода",पानी से भरा लकड़ी की बैरल,برميل خشبي مملوء بالماء
wood_vat,简易蓄水桶,Put it on the ground and collect rain when it rains.,シンプルバケット,Cubo simple,Простой ковш,Seau simple,Einfacher Eimer,Basit kova,간단한 양동이,Proste wiadro,Balde simples,Enkel spand,Eenvoudige emmer,Secchio semplice,Просте відро,Проста кофа,सरल बाल्टी,دلو بسيط
